date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,srad,q_mm,humidity
5/1/17,659,559,2.4832,3164.0,1549.44,1029.0,634.0,759.0,64.68,31.6,20.46,196.78204,92.8,72.98387097
6/1/17,671,578,2.4727,3106.16,1352.83,949.0,652.0,817.0,67.94,31.06,20.29,181.85794,223.5,68.58333333
7/1/17,688,618,2.4627,3093.11,1238.29,928.0,662.0,805.0,71.51,31.45,19.9,219.2362,7.2,66.0
8/1/17,705,723,2.463,3160.63,1040.68,900.0,671.0,757.0,80.36,31.12,20.62,181.75391,122.0,67.83870968
9/1/17,633,652,2.4339,3184.11,974.82,891.0,629.0,843.0,86.12,30.45,20.51,176.41644,182.2,68.51666667
10/1/17,661,667,2.3861,3172.03,838.02,874.0,612.0,941.0,84.58,31.17,21.54,163.95702,143.4,66.43548387
11/1/17,674,667,2.3696,3148.39,831.74,862.0,592.0,907.0,77.92,29.64,19.82,169.6946,129.4,77.75
12/1/17,703,652,2.368,3293.41,802.4,852.0,615.0,804.0,72.35,29.78,18.99,225.63796,2.1,74.61290323
1/1/18,694,695,2.3599,3346.8,776.9,850.0,614.0,820.0,57.58,30.61,20.67,200.36702,4.2,77.35483871
2/1/18,681,752,2.3569,3281.72,830.19,862.0,614.0,809.0,45.0,31.38,20.63,228.3427,7.7,69.14285714
3/1/18,663,774,2.3779,3299.12,947.07,861.0,591.0,846.0,30.88,31.35,20.89,197.07812,89.9,71.82258065
4/1/18,632,763,2.4014,3260.92,917.18,952.71,541.63,921.0,31.54,31.37,21.19,202.4716,156.4,71.11666667
5/1/18,561,745,2.383,3216.03,851.56,889.57,482.36,986.0,30.62,31.8,20.55,188.48376,4.4,75.48387097
6/1/18,497,700,2.3559,3767.08,884.24,752.45,444.36,968.0,36.45,31.46,20.28,183.29033,5.8,69.33333333
7/1/18,509,827,2.3025,3824.25,855.36,663.89,442.68,948.0,37.77,31.29,20.14,200.56708,141.7,66.82258065
8/1/18,475,874,2.2935,3876.89,894.11,762.17,421.5,949.0,43.33,31.03,20.32,203.86398,115.1,62.80645161
9/1/18,392,796,2.193,3829.73,933.77,836.25,405.88,924.0,49.67,30.75,20.74,177.89685,276.8,67.21666667
10/1/18,319,656,2.2021,3658.97,938.29,859.8,391.4,910.0,45.52,31.67,21.74,170.00668,200.6,73.20967742
11/1/18,354,684,2.1967,3736.3,914.09,849.78,412.37,889.0,49.81,29.74,20.6,154.92254,245.3,75.0
12/1/18,388,704,2.2085,3773.36,900.93,848.78,413.93,937.0,47.69,29.58,20.38,182.99425,177.1,75.12903226
1/1/19,381,690,2.1984,3852.53,910.08,888.15,399.53,1074.0,51.14,31.0,21.12,214.63494,7.6,69.41935484
2/1/19,370,703,2.2007,3709.49,909.13,924.94,387.31,1114.0,52.3,31.87,20.99,241.69837,68.9,68.46428571
3/1/19,354,703,2.2211,3299.71,862.49,765.61,374.67,1284.0,50.99,32.08,21.49,217.32368,175.0,67.14516129
4/1/19,348,654,2.2255,3553.8,876.07,676.08,369.79,1441.0,54.91,31.82,21.19,220.01242,7.5,70.75
5/1/19,332,591,2.1992,3488.13,946.76,687.63,357.94,1454.0,55.84,31.35,20.5,217.52373,142.0,68.90322581
6/1/19,349,552,2.1542,3443.88,1012.94,733.28,363.49,1492.0,59.89,31.26,20.44,228.16665,59.4,75.11666667
7/1/19,372,550,2.1569,3404.1,1032.57,789.81,366.24,1704.74,63.02,31.15,20.41,234.33635,139.7,73.69354839
8/1/19,324,481,2.156,3243.64,1149.51,793.66,337.97,1636.96,58.65,31.53,20.43,208.6653,130.9,71.03225806
9/1/19,315,437,2.1705,2970.88,1242.32,783.14,330.17,1634.05,61.73,30.5,20.7,202.79169,269.2,69.13333333
10/1/19,312,400,2.1901,2669.99,1382.99,771.62,339.3,1644.09,59.81,31.47,21.44,176.32842,241.9,74.93548387
11/1/19,306,371,2.1772,2666.9,1440.75,754.36,328.92,1699.32,59.42,29.79,20.41,168.66231,329.0,74.73333333
12/1/19,288,332,2.1802,2567.81,1403.14,760.59,312.49,1672.38,57.61,28.78,20.03,192.13276,232.2,78.08064516
1/1/20,255,340,2.1789,2598.36,1411.8,754.58,314.02,1671.3,58.94,29.8,20.67,213.42661,93.4,70.79032258
2/1/20,257,367,2.2247,2552.18,1447.42,769.61,316.78,1591.59,61.35,31.53,20.48,252.54135,42.1,67.5
3/1/20,265,329,2.2825,2601.72,1406.76,806.79,320.57,1483.81,67.44,31.49,20.8,227.78255,125.8,68.59677419
4/1/20,254,319,2.1889,2624.08,1401.82,815.71,304.81,1502.5,66.94,31.32,21.05,191.63662,155.5,72.41666667
5/1/20,240,285,2.1448,2552.27,1392.95,811.08,303.78,1439.77,65.6,31.45,20.35,199.85488,53.0,74.82258065
6/1/20,254,289,2.1433,2565.32,1350.5,780.64,327.63,1451.82,73.53,31.36,20.44,184.30661,22.3,73.43333333
7/1/20,251,293,2.1513,2597.95,1309.99,744.85,326.01,1485.0,76.15,31.34,20.25,196.58998,27.2,73.62903226
8/1/20,234,295,2.122,2581.68,1270.51,727.53,295.17,1500.68,70.59,31.32,20.33,193.51714,96.0,68.58064516
9/1/20,255,317,2.1321,2536.49,1273.54,727.53,286.89,1551.9,66.9,30.76,20.3,169.84664,266.8,71.98333333
10/1/20,330,358,2.1652,2559.12,1244.66,723.02,421.36,1522.17,68.28,31.06,21.64,146.47222,311.6,69.88709677
11/1/20,362,363,2.2025,2626.91,1252.78,738.07,427.49,1430.48,60.18,29.78,20.16,186.68326,38.2,77.95
12/1/20,310,322,2.2225,2736.64,1287.68,749.57,385.09,1472.27,62.25,29.62,19.74,210.72987,33.7,76.17741935
1/1/21,277,307,2.2629,2842.81,1289.12,761.6,373.03,1525.43,63.04,31.41,19.68,244.41912,4.6,74.77419355
2/1/21,323,330,2.2817,2936.19,1303.59,759.59,390.69,1572.25,71.52,31.93,20.63,223.31732,6.9,66.91071429
3/1/21,360,339,2.3159,2847.84,1234.88,771.62,396.87,1302.61,74.8,31.79,20.99,228.56676,41.5,69.0
