date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
5/1/14,661,636,2.4047,3772.18,645.33,1025,663,602,36.86,31.54,20.35,128.1,111.9,1.26,204.72022,16.2,33.25806452,23.22580645,10.70322581,6.64516129,48.35483871,23.66129032,33.37096774,28.5483871,6.241935484,35.61290323,77.25806452,0.622580645,1008.919355,28.5483871,8.919354839,158.4677419,4.5
6/1/14,687,632,2.4114,4161.09,654.17,990,652,591,41.04,31.76,19.98,174.1,114.9,1.31,199.9269,59.2,34.06666667,23.26666667,11.6,7.566666667,49.53333333,22.05,32.78333333,28.88333333,7.2,22.95,69.31666667,0.288333333,1007.8,28.88333333,9.533333333,192.7333333,5.2
7/1/14,625,619,2.4146,4503.83,687.82,981,610,595,40.94,31.5,20.45,165.7,121.1,1.56,212.01822,44.6,33.90322581,22.80645161,11.41935484,7.129032258,48.90322581,21.38709677,32.19354839,28.74193548,7.064516129,24.75806452,67.62903226,0.298387097,1009.016129,28.67741935,9.741935484,178.7580645,5.193548387
8/1/14,611,616,2.413,4446.18,734.38,973,595,606,39.25,31.22,20.03,229.2,107.2,1.25,193.92525,122,32.87096774,22.70967742,11.01290323,6.806451613,49.38709677,22.19354839,31.61290323,27.93548387,6.967741935,37.83870968,73.29032258,0.403225806,1009.66129,27.93548387,9.193548387,191.7741935,5.016129032
9/1/14,631,668,2.406,4465.47,727.47,965,611,659,46.36,30.6,20.4,232.8,103.9,1.21,182.93023,128.9,32.96666667,22.76666667,11.32,6.766666667,49.9,22.28333333,31.95,28.18333333,6.316666667,33.9,73.23333333,0.343333333,1010.083333,28.18333333,9.666666667,168.8833333,4.683333333
10/1/14,655,693,2.3219,4624.57,711.64,969,626,679,48.74,31.33,21.48,230.7,97.8,0.85,179.43327,132.9,32.70967742,23.19354839,10.99032258,6.483870968,50,23.19354839,32.46774194,28.03225806,6.193548387,39.32258065,76.67741935,0.562903226,1009.758065,28.03225806,9.048387097,165.5,4.451612903
11/1/14,616,686,2.357,4591.11,728.91,980,616,666,52.85,29.59,20.56,298.1,87,1.18,150.74539,211.1,31.56666667,23.06666667,10.74666667,6.466666667,50.1,23.36666667,31.8,27.65,6.166666667,46.7,79.46666667,0.328333333,1009.2,27.4,8.4,139.0666667,4.433333333
12/1/14,586,677,2.3064,4749.52,716.23,981,614,647,53.48,28.78,20.43,212.2,104.4,1.53,193.22906,107.8,29.96774195,22.77419355,9.748387097,6.193548387,50.61290323,23.22580645,30.72580645,27.17741935,5.403225806,57.96794354,81.29032258,0,1010.032258,26.41935484,7.76019188,120.1290323,3.741935484
1/1/15,615,718,2.2659,4973.13,738.57,990,638,666,51.91,30.51,20.23,61.6,112.7,1.73,222.17301,3.1,32.35483871,21.83870968,11.05806452,6.516129032,51.09677419,21.64516129,30.66129032,27.5,5.758064516,40.51612903,73.85483871,0.162903226,1011.467742,27.4516129,8.564516129,108.0483871,4
2/1/15,607,750,2.2431,5082.29,773.72,995,623,669,49.45,30.93,20.88,271.2,123.5,1.1,221.87693,113.4,33.92857143,21.85714286,10.85,6.785714286,48.75,20.67857143,31.16071429,28.375,5.946428571,36.78571429,67.64285714,0.128571429,1011.517857,28.33928571,9.428571429,92.91071429,4.196428571
