date,cpo_pri,cno_pri,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,srad,q_mm,humidity
2019-07-01,372,550,3404.1,1032.57,789.81,366.24,1704.74,63.02,234.33635,139.7,73.69354839
2019-08-01,324,481,3243.64,1149.51,793.66,337.97,1636.96,58.65,208.6653,130.9,71.03225806
2019-09-01,315,437,2970.88,1242.32,783.14,330.17,1634.05,61.73,202.79169,269.2,69.13333333
2019-10-01,312,400,2669.99,1382.99,771.62,339.3,1644.09,59.81,176.32842,241.9,74.93548387
2019-11-01,306,371,2666.9,1440.75,754.36,328.92,1699.32,59.42,168.66231,329,74.73333333
2019-12-01,288,332,2567.81,1403.14,760.59,312.49,1672.38,57.61,192.13276,232.2,78.08064516
2020-01-01,255,340,2598.36,1411.8,754.58,314.02,1671.3,58.94,213.42661,93.4,70.79032258
2020-02-01,257,367,2552.18,1447.42,769.61,316.78,1591.59,61.35,252.54135,42.1,67.5
2020-03-01,265,329,2601.72,1406.76,806.79,320.57,1483.81,67.44,227.78255,125.8,68.59677419
2020-04-01,254,319,2624.08,1401.82,815.71,304.81,1502.5,66.94,191.63662,155.5,72.41666667
2020-05-01,240,285,2552.27,1392.95,811.08,303.78,1439.77,65.6,199.85488,53,74.82258065
2020-06-01,254,289,2565.32,1350.5,780.64,327.63,1451.82,73.53,184.30661,22.3,73.43333333
2020-07-01,251,293,2597.95,1309.99,744.85,326.01,1485,76.15,196.58998,27.2,73.62903226
2020-08-01,234,295,2581.68,1270.51,727.53,295.17,1500.68,70.59,193.51714,96,68.58064516
2020-09-01,255,317,2536.49,1273.54,727.53,286.89,1551.9,66.9,169.84664,266.8,71.98333333
2020-10-01,330,358,2559.12,1244.66,723.02,421.36,1522.17,68.28,146.47222,311.6,69.88709677
2020-11-01,362,363,2626.91,1252.78,738.07,427.49,1430.48,60.18,186.68326,38.2,77.95
2020-12-01,310,322,2736.64,1287.68,749.57,385.09,1472.27,62.25,210.72987,33.7,76.17741935
2021-01-01,277,307,2842.81,1289.12,761.6,373.03,1525.43,63.04,244.41912,4.6,74.77419355
2021-02-01,323,330,2936.19,1303.59,759.59,390.69,1572.25,71.52,223.31732,6.9,66.91071429
2021-03-01,360,339,2847.84,1234.88,771.62,396.87,1302.61,74.8,228.56676,41.5,69
