date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,HeatIndexC 
2012-08-01,371,418,2.7693,2787.13,615.82,685.0,448.0,712.0,24.29,31.37,20.48,212.3,105.5,1.39,191.5486,106.8,33.41935484,22.58064516,0,11.37419355,6.967741935,52.0,22.0,32.09677419,32.09677419,28.41935484,6.983870968,27.75806452,71.08064516,0.532258065,1009.532258,28.38709677,9.274193548,171.8064516,5.096774194,
2012-09-01,356,436,2.773,2721.53,620.32,712.0,461.0,696.0,26.33,30.7,20.75,392.8,98.0,1.39,169.3425,294.8,32.76666667,22.8,0,11.22666667,6.933333333,50.83333333,21.91666667,31.66666667,31.66666667,28.13333333,6.7,35.65,70.96666667,0.666666667,1009.766667,28.11666667,9.133333333,207.95,4.883333333,
2012-10-01,362,460,2.7682,2694.24,648.67,773.0,505.0,684.0,27.04,31.22,21.74,345.6,96.4,1.1,173.95977,249.2,32.80645161,22.93548387,0,10.71935484,6.709677419,52.12903226,22.53225806,31.91935484,31.91935484,28.11290323,6.274193548,38.9516129,74.40322581,0.456451613,1009.306452,28.11290323,9.064516129,187.5806452,4.532258065,
2012-11-01,356,455,2.8146,2685.46,675.49,858.0,483.0,632.0,28.36,30.54,20.46,304.7,101.2,1.47,178.38498,203.5,31.6,22.93333333,0,10.47333333,6.233333333,50.56666667,23.58333333,31.81666667,31.85,27.48333333,5.35,46.41666667,80.96666667,0.846666667,1008.866667,27.48333333,7.760191880249998,193.4833333,4.016666667,
2012-12-01,352,424,2.8149,2743.6,704.51,845.0,489.0,624.0,25.21,29.88,20.33,265.3,112.6,1.68,203.81597,152.7,31.51612903,22.87096774,0,10.33548387,6.225806452,51.48387097,23.35483871,31.58064516,31.58064516,27.38709677,4.887096774,50.27419355,81.01612903,0.362903226,1008.709677,27.38709677,7.760191880249998,113.3225806,3.306451613,
2013-01-01,333,419,2.6602,2706.44,687.6,807.0,491.0,632.0,25.93,30.56,21.12,110.5,110.3,1.59,217.47572,5.5,32.29032258,22.58064516,0,10.56129032,6.419354839,51.0,22.43548387,31.30645161,31.37096774,27.62903226,6.080645161,42.74193548,76.20967742,0.258064516,1010.387097,27.62903226,8.483870968,139.1612903,4.370967742,
2013-02-01,357,464,2.505,2665.22,644.98,808.0,536.0,657.0,26.57,32.17,20.59,206.0,131.4,1.19,231.43955,71.2,31.57142857,22.46428571,0,10.1,6.142857143,48.92857143,23.10714286,31.28571429,31.32142857,27.28571429,5.392857143,52.08928571,80.33928571,0.569642857,1009.410714,27.28571429,7.760191880249998,121.1964286,3.803571429,
2013-03-01,411,615,2.481,2681.78,700.61,924.0,589.0,701.0,26.15,31.69,21.29,280.2,117.6,1.26,207.40895,162.6,33.74193548,22.90322581,0,11.41935484,6.677419355,50.96774194,23.17741935,33.40322581,33.40322581,28.67741935,5.483870968,30.66129032,75.01612903,0.664516129,1009.790323,28.67741935,9.290322581,129.3387097,3.887096774,
2013-04-01,404,595,2.4793,2686.82,699.96,993.0,602.0,727.0,27.15,32.02,21.29,194.9,117.7,1.04,205.71249,77.2,34.0,23.4,0,11.18,7.2,50.23333333,23.3,33.63333333,33.63333333,29.06666667,6.266666667,35.13333333,73.71666667,0.596666667,1008.266667,29.06666667,9.083333333,225.65,4.633333333,
2013-05-01,387,573,2.4479,2661.5,650.92,1011.0,577.0,724.0,27.47,31.7,20.65,86.1,118.9,1.44,217.87583,4.3,33.87096774,23.41935484,0,11.10322581,7.258064516,50.41935484,23.0,33.24193548,33.24193548,28.9516129,6.532258065,36.77419355,73.22580645,0.470967742,1008.322581,28.9516129,9.016129032,197.2580645,4.661290323,
