Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2014-10,32.70967742,23.19354839,0,10.99032258,6.483870968,50,23.19354839,32.46774194,32.46774194,28.03225806,6.193548387,39.32258065,76.67741935,0.562903226,1009.758065,28.03225806,9.048387097,165.5,4.451612903
2014-11,31.56666667,23.06666667,0,10.74666667,6.466666667,50.1,23.36666667,31.8,31.83333333,27.65,6.166666667,46.7,79.46666667,0.328333333,1009.2,27.4,8.4,139.0666667,4.433333333
2014-12,29.67741935,22.77419355,0,9.748387097,6.193548387,50.61290323,23.22580645,30.72580645,30.79032258,27.17741935,5.403225806,58.93548387,81.29032258,0,1010.032258,26.41935484,7.483870968,120.1290323,3.741935484
2015-01,32.35483871,21.83870968,0,11.05806452,6.516129032,51.09677419,21.64516129,30.66129032,30.83870968,27.5,5.758064516,40.51612903,73.85483871,0.162903226,1011.467742,27.4516129,8.564516129,108.0483871,4
2015-02,33.92857143,21.85714286,0,10.85,6.785714286,48.75,20.67857143,31.16071429,31.32142857,28.375,5.946428571,36.78571429,67.64285714,0.128571429,1011.517857,28.33928571,9.428571429,92.91071429,4.196428571
2015-03,33.16129032,22.83870968,0,10.56129032,6.64516129,51.03225806,22.56451613,32.43548387,32.43548387,28.62903226,5.596774194,35.03225806,73.38709677,0.241935484,1010.854839,28.38709677,8.822580645,122.4354839,3.693548387
2015-04,33.86666667,23.66666667,0,11.13333333,6.9,50.53333333,23.15,33.53333333,33.53333333,29.31666667,5.8,31.76666667,73.16666667,0.615,1009.65,29.08333333,8.6,134.9666667,4.083333333
2015-05,34.41935484,23.83870968,0,11.37419355,7.258064516,51.67741935,23.14516129,33.91935484,33.91935484,29.5,6,32.61290323,72.14516129,0.787096774,1009.774194,29.40322581,9.35483871,137.8709677,4.129032258
2015-06,34.06666667,23.56666667,0,11,7.3,50.73333333,22.4,33.11666667,33.11666667,29.26666667,6.85,32.23333333,69.83333333,0.49,1009.316667,29.21666667,9.316666667,161.35,4.866666667
2015-07,34.51612903,23.67741935,0,11.41935484,7.64516129,52.25806452,21.46774194,32.80645161,32.80645161,29.56451613,7.258064516,30.03225806,65.32258065,0.382258065,1009.66129,29.51612903,9.709677419,179.016129,5.258064516
2015-08,34.09677419,23.58064516,0,11.1483871,7.258064516,51.96774194,21.85483871,32.69354839,32.69354839,29.19354839,6.919354839,38.01612903,67.48387097,0.690322581,1010.209677,29.17741935,9.5,165.3225806,5.032258065
2015-09,33.46666667,23.5,0,10.66666667,7.266666667,50.53333333,21.83333333,32.36666667,32.36666667,29.06666667,6.383333333,40.3,68.1,0.338333333,1010.066667,28.76666667,9.633333333,191.7166667,4.766666667
2015-10,34.29032258,23.70967742,0,11.06129032,7.161290323,51.32258065,22,32.91935484,32.91935484,29.40322581,6,37.25806452,68.08064516,0.517741935,1010.854839,29.38709677,9.661290323,118.1129032,4.161290323
2015-11,33.36666667,23.43333333,0,10.64333333,6.766666667,50.43333333,23.21666667,33.03333333,33.03333333,28.78333333,5.65,41.95,74.45,0.813333333,1009.366667,28.78333333,9.133333333,139.3333333,3.85
