,Date,cpo_pri,cno_pri,rps_pri,pno_pri,sbo_pri,wti_spri
124,2012-06-01,374.0,362.0,1183.37,684.39,389.18,77.66
125,2012-07-01,353.0,376.0,1214.67,617.29,364.92,77.31
126,2012-08-01,359.0,366.0,1230.73,598.92,359.21,80.41
127,2012-09-01,360.0,411.0,1268.69,590.24,370.86,78.47
128,2012-10-01,385.0,420.0,1214.2,599.56,399.89,73.99
129,2012-11-01,426.0,446.0,1184.61,645.95,456.81,65.75
130,2012-12-01,422.0,445.0,1188.18,704.52,489.63,71.61
131,2013-01-01,446.0,443.0,1210.92,758.59,502.75,75.9
132,2013-02-01,425.0,410.0,1216.99,794.71,505.67,73.44
133,2013-03-01,427.0,434.0,1161.66,816.19,528.57,69.0
134,2013-04-01,465.0,457.0,1131.82,870.83,582.0,67.62
135,2013-05-01,489.0,482.0,1116.66,952.0,591.03,67.3
136,2013-06-01,486.0,494.0,1147.34,970.03,540.72,71.32
137,2013-07-01,477.0,477.0,1008.78,1016.45,522.43,71.35
138,2013-08-01,454.0,441.0,993.85,1039.32,522.52,71.67
139,2013-09-01,443.0,421.0,983.52,1064.23,540.9,70.65
140,2013-10-01,454.0,440.0,1010.85,1147.41,549.24,72.99
141,2013-11-01,466.0,459.0,1021.7,1234.59,545.85,72.64
142,2013-12-01,458.0,439.0,1007.11,1261.43,531.41,80.03
143,2014-01-01,439.0,421.0,948.01,1299.68,515.69,80.06
144,2014-02-01,441.0,431.0,971.77,1329.79,558.02,79.57
145,2014-03-01,515.0,487.0,1009.95,1359.2,608.26,73.69
146,2014-04-01,548.0,515.0,1011.42,1388.91,630.62,69.69
147,2014-05-01,540.0,583.0,954.94,1402.33,637.36,71.43
148,2014-06-01,527.0,584.0,948.33,1433.0,656.97,69.69
149,2014-07-01,564.0,642.0,892.08,1433.0,682.08,73.76
150,2014-08-01,584.0,685.0,851.75,1356.32,689.43,72.76
151,2014-09-01,575.0,736.0,836.46,1322.77,672.46,73.9
152,2014-10-01,537.0,716.0,859.11,1322.77,627.96,74.16
153,2014-11-01,471.0,658.0,841.33,1264.65,581.74,77.43
154,2014-12-01,455.0,669.0,814.81,1247.11,605.08,76.02
155,2015-01-01,458.0,627.0,777.72,1234.59,604.65,72.38
156,2015-02-01,468.0,657.0,762.51,1213.59,601.6,72.33
157,2015-03-01,451.0,642.0,751.16,1212.54,583.49,66.6
158,2015-04-01,455.0,659.0,747.72,1225.57,561.19,60.79
159,2015-05-01,446.0,654.0,769.95,1233.63,552.06,48.06
160,2015-06-01,419.0,646.0,841.79,1234.59,519.98,40.77
161,2015-07-01,423.0,646.0,809.98,1234.59,495.73,44.6
162,2015-08-01,458.0,710.0,753.56,1234.59,543.69,44.1
163,2015-09-01,458.0,679.0,771.69,1223.04,545.88,50.51
164,2015-10-01,450.0,647.0,809.13,1212.54,537.98,53.13
165,2015-11-01,452.0,639.0,799.62,1198.51,560.15,53.33
166,2015-12-01,455.0,606.0,820.94,1178.95,561.26,46.31
167,2016-01-01,448.0,550.0,781.35,1165.1,550.08,38.49
168,2016-02-01,454.0,559.0,779.88,1168.45,545.16,40.49
